ID,Name,Description,ColumnSpec
LEI,Language Endangerment Index,"The level of endangerment presented for each language is not meant to be the final word on the matter. The scores for individual languages will change as more information becomes available. These scores are provided for practical purposes, to give a quick but rough visual indication of a language’s endangerment status. The level of certainty accompanying each endangerment score shows the degree of confidence in that score; a label of “uncertain” may indicate that the level is not yet known, or that the score has been computed but further evaluation is needed. Detailed information about how a language’s level of endangerment is calculated is given at https://endangeredlanguages.com/about_catalogue/",
context,context,Composite information pertaining to the context a language is spoken in.,"{""datatype"": {""base"": ""json"", ""format"": ""{\""type\"": \""object\"", \""properties\"": {\""Domains Other Langs\"": {\""type\"": \""array\"", \""items\"": {\""type\"": \""string\""}}, \""Government Support\"": {\""type\"": \""string\""}, \""Institutional Support\"": {\""type\"": \""string\""}, \""Number Speaker Other Languages\"": {\""type\"": \""string\""}, \""Other Languages Used\"": {\""type\"": \""string\""}, \""Speaker Attitude\"": {\""type\"": \""string\""}}}""}}"
location,location,Composite information pertaining to the location(s) a language is spoken at.,"{""datatype"": {""base"": ""json"", ""format"": ""{\""type\"": \""object\"", \""properties\"": {\""Coordinates\"": {\""type\"": \""array\"", \""items\"": {\""type\"": \""array\"", \""prefixItems\"": [{\""title\"": \""latitude\"", \""type\"": \""number\"", \""minimum\"": -90, \""maximum\"": 90}, {\""title\"": \""longitude\"", \""type\"": \""number\"", \""minimum\"": -180, \""maximum\"": 180}]}}, \""Description\"": {\""type\"": \""string\""}, \""Places\"": {\""type\"": \""array\"", \""items\"": {\""type\"": \""string\""}}}}""}}"
speakers,speakers,Composite information pertaining to the speakers of a language.,"{""datatype"": {""base"": ""json"", ""format"": ""{\""type\"": \""object\"", \""properties\"": {\""Speaker Number Text\"": {\""type\"": \""string\""}, \""Speaker Number\"": {\""type\"": \""string\""}, \""Elders\"": {\""type\"": \""string\""}, \""Ethnic Population\"": {\""type\"": \""string\""}, \""Older Adults\"": {\""type\"": \""string\""}, \""Second Language Speakers\"": {\""type\"": \""string\""}, \""Semi Speakers\"": {\""type\"": \""string\""}, \""Young Adults\"": {\""type\"": \""string\""}, \""Date Of Info\"": {\""type\"": \""string\""}}}""}}"
vitality,vitality,Composite information pertaining to the vitality of a language.,"{""datatype"": {""base"": ""json"", ""format"": ""{\""type\"": \""object\"", \""properties\"": {\""Endangerment\"": {\""type\"": \""object\"", \""properties\"": {\""Level\"": {\""enum\"": [\""safe\"", \""at risk\"", \""vulnerable\"", \""threatened\"", \""endangered\"", \""severely endangered\"", \""critically endangered\"", \""awakening\"", \""dormant\""]}, \""Certainty\"": {\""type\"": \""number\"", \""minimum\"": 0, \""maximum\"": 1}}}, \""Domains Of Use\"": {\""type\"": \""string\""}, \""Speaker Number Trends\"": {\""type\"": \""string\""}, \""Transmission\"": {\""type\"": \""string\""}}}""}}"
speaker_number,Speaker Number,,
speaker_number_trends,Speaker Number Trends,,
transmission,Transmission,,
domains_of_use,Domains Of Use,,
